processing,Li_average,Hf_average,Ti_average,Pb_average,Sb_average,Bi_average,Al_average,Sn_average,Ni_average,Mn_average,Mg_average,Cr_average,Si_average,Cu_average,Zn_average,Fe_average,O_average,Ag_average,P_average,Se_average,Co_average,Be_average,Zr_average,S_average,Te_average,C_average,As_average,Other_average,Nb_average,Cd_average,B_average,thermal_conductivity_average_W
3,0,0,0.35,0.02,0,0,0,0,10,1,0,0,0.2,77.945,0,1.5,0,0,0.02,0,0,0,0,0.015,0,0.05,0,0,0,0,0,45
3,0,0,0.5,0.02,0,0,0,0,10,1.25,0,0,0.5,76.445,0,2.5,0,0,0.02,0,0,0,0,0.015,0,0.05,0,0,0,0,0,45
2,0,0,0,1,0,0,0.1,1,2,2.5,0,0,0.1,59,0,0.7,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,0.8,0.05,0,0.03,0.8,1.8,0.3,0,0,0.03,58.5,0,0.6,0,0,0.02,0,0,0,0,0,0,0,0.08,0,0,0,0,116
2,0,0,0,0.1,0,0,8,0.2,1.5,5.75,0,0,0.1,82,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,1.5,0.3,0,0,10,2,0,0,0,0,87.5,2,0.25,0,0,0.05,0,0,0,0,0.1,0,0,0,0,0,0,0,46.5
2,0,0,0,1.3,0.25,0,0.01,10.1,1.8,0.1,0,0,0.01,87.25,2,0.2,0,0,0.03,0,0,0,0,0.06,0,0,0.1,0,0,0,0,46.5
2,0,0,0,22,0.2,0,0,1.75,2.5,0,0,0,0,75,0.5,0.7,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,5,0.35,0,0,10,1.5,0,0,0,0,85.5,2,0.25,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,5.05,0.25,0,0.01,10.25,1.3,0.1,0,0,0.01,85.25,0.8,0.15,0,0,0.03,0,0,0,0,0.08,0,0,0.1,0,0,0,0,46.5
2,0,0,0,5,0.3,0,0.01,10,1,0,0,0,0,82.9399825,0.5,0.2,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,0.5,0.2,0.01,0.01,12.25,1.5,0.2,0,0,0.02,84.7099825,0.3,0.2,0,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0.5,0.3,0.025,0.02,10,0,0,0,0,0.02,86.6349825,2,0.3,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,0.03,0.002,0,10,0.1,0.5,1.5,0,0,0.1,84.2479825,0.5,3,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,46.5
2,0,0,0,3,0.1,0.01,0.2,0.7,0,3.5,0,0,0.2,48.75,0,0.85,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,116
2,0,0,0,0.5,0.2,0,1.5,0.5,13.75,1.5,0,0,0,44.5,0,2,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,0.6,0,0,0.6,1,0,2,0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,2,0,0,0.1,1,1,0.5,0,0,0.2,59.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,0.5,0,0,1.5,1,3,1.75,0,0,0.1,61,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,0.5,0,0,1.5,1,3,1.75,0,0,0.1,61,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,3,0.3,0,0.01,9.15,0.75,0.1,0,0,0.01,86,1.75,0.25,0,0,0.03,0,0,0,0,0.08,0,0,0.15,0,0,0,0,46.5
2,0,0,0,2.25,0.325,0,0.01,9,2,0.15,0,0,0.01,84.5,4.25,0.275,0,0,0.04,0,0,0,0,0.08,0,0,0,0,0,0,0,116
2,0,0,0,1.5,0.325,0,0.01,10,2,0.15,0,0,0.01,85.54,2.75,0.275,0,0,0.04,0,0,0,0,0.08,0,0,0,0,0,0,0,46.5
2,0,0,0,1.4,0.3,0,0.01,10,2,0.2,0,0,0.01,87.5,2,0.225,0,0,0.04,0,0,0,0,0.1,0,0,0,0,0,0,0,46.5
2,0,0,0,0.8,0.2,0,0.01,12.15,1.8,0.2,0,0,0.01,86.9,0.5,0.145,0,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0.8,0.2,0,0.01,12.15,1.8,0.2,0,0,0.01,86.9,0.5,0.15,0,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0.9,0.2,0,0.01,14,0.9,0.2,0,0,0.01,85.25,0.5,0.175,0,0,0.225,0,0,0,0,0.045,0,0,0,0,0,0,0,46.5
2,0,0,0,0.9,0.2,0,0.01,14,0.9,0.2,0,0,0.01,86,0.5,0.175,0,0,0.225,0,0,0,0,0.045,0,0,0,0,0,0,0,46.5
2,0,0,0,0.03,0,0,9.5,0.1,5.4,1.3,0.04,0.005,0.07,79.5,0.2,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,0.02,0,0,9.5,0.1,5.4,2.3,0.04,0.005,0.07,79.5,0.2,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,0.03,0,0,9.4,0.1,4.75,3,0.05,0,0.1,77.3199825,0.5,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,0.1,0,0,9.5,0.1,4.5,0.8,0,0,0,81.5,0.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,0.1,0,0,9,0.1,0.55,0.55,0,0,0,85,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,0.1,0,0,9.25,0.1,2,0.8,0,0,0,80,0.5,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,0.1,0,0,9.5,0.1,4.5,0.8,0,0,0,78,0.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,0.1,0,0,7.5,0.1,2.5,11,0,0,0,71,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,5,0.2,0,0.01,3,1,0,0,0,0.01,81,10,0.35,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,1,0.2,0,0.01,8,1,0,0,0,0.01,88,4,0.2,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,1,0.2,0,0.01,10,1,0,0,0,0.01,88,2,0.2,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,5,0.2,0,0.01,5,1,0,0,0,0.01,85,5,0.3,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,2,0.2,0,0.01,6,1,0,0,0,0.01,88,4,0.2,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,5,0.2,0,0.005,3,0.8,0,0,0,0.005,81,10,0.35,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,1,0.2,0,0.005,8,0.8,0,0,0,0.005,88,4,0.2,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,5,0.2,0,0.005,5,0.8,0,0,0,0.005,85,5,0.3,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,2,0.2,0,0.005,6,0.8,0,0,0,0.005,88,4,0.2,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,0.1,0.05,0,9.5,0.2,1,0.5,0,0,0.2,84.2999825,1,3,0,0,0.1,0,0,0,0,0,0,0,0.05,0,0,0,0,46.5
2,0,0,0,0.3,0.05,0,9.5,0.2,1,0.5,0,0,0.2,83.7999825,1.3,3,0,0,0.1,0,0,0,0,0,0,0,0.05,0,0,0,0,46.5
2,0,0,0,0.3,0.05,0,10,0.1,0.5,2,0,0,0.1,83.4299825,0.5,3,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,46.5
2,0,0,0,0.05,0.05,0,10.25,0.2,4.5,0.5,0,0,0.2,79.0999825,0.5,4.5,0,0,0.1,0,0,0,0,0,0,0,0.05,0,0,0,0,46.5
2,0,0,0,0.05,0.05,0,7.05,0.1,2,14.75,0,0,0.1,70.7799825,2,3,0,0,0.02,0,0,0,0,0,0,0.05,0.05,0,0,0,0,46.5
2,0,0,0,0.1,0.05,0,9.25,0.2,1,0.5,0,0,0.2,84.5499825,1,3,0,0,0.1,0,0,0,0,0,0,0,0.05,0,0,0,0,46.5
2,0,0,0,9.5,0.3,0,0.02,10,2,0,0.02,0,0.02,77.1899825,0.5,0.2,0,0,0.05,0,0,0,0,0.05,0,0,0.15,0,0,0,0,46.5
2,0,0,0,0.5,0.3,0,0.02,10,2,0,0.02,0,0.02,84.5899825,2,0.3,0,0,0.05,0,0,0,0,0.05,0,0,0.15,0,0,0,0,46.5
2,0,0,0,4.5,0.5,0,0.02,2.75,2,0,0.02,0,0.02,78.0399825,11.5,0.4,0,0,0.05,0,0,0,0,0.05,0,0,0.15,0,0,0,0,46.5
2,0,0,0,4.5,0.5,0,0.02,3.25,1.25,0,0.02,0,0.02,73.569983,7.75,0.4,0,0,0.05,0,0,0,0,0.05,0,0,0.15,0,0,0,0,116
2,0,0,0,17,0.5,0,0.05,4.5,2,0,0.02,0,0.05,71.1799825,4,0.4,0,0,0.1,0,0,0,0,0.05,0,0,0.15,0,0,0,0,46.5
2,0,0,0,24.5,0.5,0,0.02,5,2,0,0.02,0,0.02,66.9899825,0.5,0.2,0,0,0.05,0,0,0,0,0.05,0,0,0.15,0,0,0,0,46.5
2,0,0,0,5,0.5,0,0.05,5,0,0,0,0,0.05,75.429983,5,0.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,3,0.5,0,0.05,6,0,0,0,0,0.02,83.9799825,6,0.4,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,0.5,0.3,0,0.02,8,2,0,0.02,0,0.02,83.5899825,5,0.3,0,0,0.05,0,0,0,0,0.05,0,0,0.15,0,0,0,0,46.5
2,0,0,0,0.02,0.002,0.002,0.002,8,0.15,0,0.002,0,0.002,91.4629825,0.03,0.02,0,0,0.305,0,0,0,0,0.002,0,0,0,0,0,0,0,46.5
2,0,0,0,1.4,0.3,0,0.01,10,2,0.2,0,0,0.01,87.5,2,0.225,0,0,0.04,0,0,0,0,0.1,0,0,0,0,0,0,0,46.5
2,0,0,0,2.25,0.25,0,0.01,7.5,2.5,0,0,0,0.01,86.5,3,0.2,0,0,0.035,0,0,0,0,0.1,0,0,0,0,0,0,0,46.5
2,0,0,0,6.5,0.325,0,0.01,7,2,0,0,0,0.01,83,3.5,0.2,0,0,0.065,0,0,0,0,0.1,0,0,0,0,0,0,0,46.5
2,0,0,0,0.1,0,0,9.45,0.1,4.9,3,0,0,0.08,76,0.5,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,0.2,0,0,4.9,0,0,0.25,0,0,0,68,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,0.05,0,0,9,0,0.8,2.25,0,0,0,85.899983,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
2,0,0,0,0.05,0,0,8.25,0,2,2.5,0,0,0,85.199983,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
2,0,0,0,0.05,0,0,9.5,0,5.5,1.25,0,0,0,80.699983,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
2,0,0,0,0.02,0,0,9.5,0,0.25,3.25,0,0,2.25,80.479983,1,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
2,0,0,0,0,0,0,0,0,20,0.5,0,0,0,78.9499825,0.2,0.3,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0,0,0,0,0,0,0,0,0.8,0,99.139983,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,200
2,0,0,0,0.02,0,0,0.1,0.1,0,0,0,0,0.15,98,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,200
2,0,0,0,0.02,0,0,0.1,0.1,0.2,0,0,0.1,0.15,95.954983,0.1,0.1,0,0,0,0,2.55,0.625,0,0,0,0,0,0,0,0,0,200
2,0,0,0,0,0,0,0,0,1.5,0,0,0,0,97.624983,0,0,0,0,0,0,0.3,0.575,0,0,0,0,0,0,0,0,0,200
2,0,0,0.07,0.02,0,0,0.15,0.1,0.2,0,0,0.1,0,96.909983,0.1,0.2,0,0,0,0,0.425,1.725,0,0,0,0,0,0,0,0,0,200
2,0,0,0.07,0.02,0,0,0.15,0.1,0.2,0,0,0.1,0.275,96.134983,0.1,0.25,0,0,0,0,0.525,2.075,0,0,0,0,0,0,0,0,0,200
2,0,0,0,0.02,0,0,0.15,0.1,0.2,0,0,0.1,0.275,95.679983,0.1,0.25,0,0,0,0,1.1,2.025,0,0,0,0,0,0,0,0,0,200
